,Unnamed: 0,Unnamed: 0.1,학번,학과,전공,전공교수,rec014_nation_cd,과정,수료년도,수료학기,rec014_birth_dt,졸업년도,졸업학기,gpa,rec014_school_term,서류점수,면접점수,대학원출신,인건비총액,학생소속대학명_간호대학,학생소속대학명_경영대학,학생소속대학명_공과대학,학생소속대학명_디자인조형학부,학생소속대학명_문과대학,학생소속대학명_미디어학부,학생소속대학명_법과대학,학생소속대학명_보건과학대학,학생소속대학명_사범대학,학생소속대학명_생명과학대학,학생소속대학명_심리학부,학생소속대학명_의과대학,학생소속대학명_이과대학,학생소속대학명_정경대학,학생소속대학명_정보대학,학생소속대학명_정보보호학부,학생교육부계열_공학,학생교육부계열_예·체능,학생교육부계열_의학,학생교육부계열_인문·사회,학생교육부계열_자연과학,성별_1,성별_2,입학과정_군위탁생,입학과정_복수학위제,입학과정_외국인,입학과정_정원내신입학,입학과정_정원내재입학,입학과정_정원외-계약학과,입학과정_정원외북탈민,입학과정_편입학석사(2학기),입학과정_편입학석사(3학기),입학과정_학·석사연계과정,입학과정_학연산협동과정,학적_졸업,학부출신_자교,학부출신_타교
0,0,0,AAFEJQKE0LXj1rlxZZ0FyIOy,법학과,상법전공,AAHas3kX25BWKqVnC7jxbZY7,KAZ,석사과정,2018.0,2R,19950824,2020,1R,4.38,4,90.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1,1,1,AAGSmibskcQIvRJkL15kcFfZ,산업경영공학과,산업경영공학전공,AAFALvCxkcHPLh1HSG5JfBLX,KOR,석사과정,2020.0,1R,19890414,2020,1R,3.81,4,40.0,43.0,,32650000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2,2,3,AAGVK3jg4DiERpGmkM4oV7AJ,국어국문학과,국어학전공,AAHYvfgFUDoHHKEIqer2mYQR,KOR,석사과정,2018.0,2R,19880405,2020,1R,4.26,4,40.0,45.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3,3,4,AAGsEiySuNMexsu2CfIjjTMv,경영학과,MIS전공,AAEizOqA/5ad2rQ/aJDLhEc2,KOR,석사과정,2018.0,2R,19900804,2020,1R,4.2,4,32.96,60.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
4,4,6,AAHmII7qrsXHBEg7iMf6pK9C,컴퓨터학과,소프트웨어전공,AAHW/nJYEE7Q/Lg+jCWZCS2V,KOR,석사과정,2020.0,1R,19910103,2020,1R,4.21,4,44.7,45.0,,36620000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5,5,7,AAHINMWKNouqGZMGYPoXQSPR,컴퓨터학과,소프트웨어전공,AAH50kqWstQqFp1VugQehH0o,KOR,석사과정,2020.0,1R,19940813,2020,1R,4.43,4,45.8,46.5,,36900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
6,6,8,AAEjuSVvjceQAdwWOnj/xqAa,국어국문학과,현대문학전공,AAEsd7KhYVi6576qF7pWfX7A,KOR,석사과정,2019.0,1R,19890219,2020,1R,4.35,4,40.0,49.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
7,7,10,AAFS9bVvQmaPYRXniRPVrDor,컴퓨터학과,소프트웨어전공,AAH50kqWstQqFp1VugQehH0o,KOR,석사과정,2020.0,1R,19950712,2020,1R,4.37,4,44.3,44.9,,36180000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
8,8,11,AAEFdYOmkRBzU+J5PULEytwp,컴퓨터학과,소프트웨어전공,AAHudyIYxDjyjfmBOdinAytX,KOR,석사과정,2020.0,1R,19920924,2020,1R,4.5,4,46.4,46.8,,8620000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
9,9,12,AAGSZ6K74G2LwHTWD57X9r4U,스마트융합학과,스마트융합전공,AAHCDViqJJEmqBBosbURMvpo,KOR,석사과정,2020.0,1R,19960224,2020,1R,4.38,4,52.4,35.6,,15876000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
