,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,학번,학과,전공,전공교수,rec014_nation_cd,과정,수료년도,수료학기,rec014_birth_dt,졸업년도,졸업학기,gpa,rec014_school_term,인건비총액,서류점수,면접점수,대학원출신,학생소속대학명_경영대학,학생소속대학명_공과대학,학생소속대학명_법과대학,학생소속대학명_보건과학대학,학생소속대학명_생명과학대학,학생소속대학명_심리학부,학생소속대학명_의과대학,학생소속대학명_이과대학,학생소속대학명_정경대학,학생소속대학명_정보대학,학생교육부계열_공학,학생교육부계열_인문·사회,학생교육부계열_자연과학,성별_1,성별_2,입학과정_외국인,입학과정_정원내신입학,입학과정_정원외-계약학과,입학과정_편입학석사(3학기),입학과정_편입학통합(4학기),입학과정_학연산협동과정,학적_졸업,학부출신_자교,학부출신_타교,졸업에걸린기간
0,0,0,28,AAFuoQg8VqL0bhyQcXazSyiD,경제학과,계량경제학전공,AAHWm3KrWZ5oxJSX8Qdd4FfT,KOR,석·박사통합과정,2019,1R,19811109,2020,1R,4.44,6,47000000,83.6,10,,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,8
1,1,1,65,AAESWBSt0iT844A5hptIbsRT,생명공학과,의약나노바이오시스템전공,AAEO7eR3iF66glPgIUiw8Cp7,KOR,석·박사통합과정,2019,2R,19900325,2020,1R,4.42,6,,45,46.1,,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,7
2,2,2,103,AAGbN0WO9yHl9Bk6GcgNB+fN,화학과,무기화학전공,AAEIBOJNWOLrJFF534LqW3Il,KOR,석·박사통합과정,2018,1R,19910201,2020,1R,4.36,6,74500000,42,50,,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,10
3,3,3,122,AAHAsJVv6TMImBEIos+p9QQl,전기전자공학과,반도체 및 나노전공,AAFAdiRzimzpkLB6/eFLLRaK,KOR,석·박사통합과정,2018,1R,19910210,2020,1R,4.19,6,,46.5,48.1,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,10
4,4,4,154,AAG7ZKcblk0SWOi/ZRccZCTW,생명공학과,분자생체공학전공,AAGHKhtTRVM2izkG1lKId0XM,KOR,석·박사통합과정,2019,1R,19930904,2020,1R,4.33,6,69910000,40,49.6,,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,8
5,5,5,262,AAF46cQgBR3CIhu/r0U0yD2r,컴퓨터·전파통신공학과,컴퓨터학전공,AAHW/nJYEE7Q/Lg+jCWZCS2V,KOR,석·박사통합과정,2019,1R,19930413,2020,1R,4.32,6,50945000,46.5,46.7,,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,8
6,6,6,336,AAEiAunrnqSCyl67BuCtViIO,의과학과,의생명과학전공,AAGBU0/Z6RmwgLjNpm+x0e0R,KOR,석·박사통합과정,2020,1R,19910409,2020,1R,4.31,8,35650000,42.33,46.67,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,8
7,7,7,338,AAFt2Ih4hbas8HWBH70ZK/Kx,전기전자공학과,반도체 및 나노전공,AAFAdiRzimzpkLB6/eFLLRaK,KOR,석·박사통합과정,2019,2R,19910930,2020,1R,4.17,7,,39.3,38.1,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,8
8,8,8,346,AAEtXDclBtE4/D+7Bhaaar7p,전기전자공학과,반도체 및 나노전공,AAFAdiRzimzpkLB6/eFLLRaK,KOR,석·박사통합과정,2019,1R,19910810,2020,1R,4.44,6,61720638,45.9,42.9,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,8
9,9,9,362,AAGWyGcFhDoNF1AhCrWmbNfJ,보건과학과,재활과학전공,AAExmaXh+bM09DJG7eJRPwz+,KOR,석·박사통합과정,2018,1R,19890802,2020,1R,4.16,6,38048987,41.2,41.2,,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,10
10,10,10,377,AAETdkBJMPq8RdEhU1hz1hCW,보건과학과,환경보건학전공,AAHq1aLSiveQarv1QuOmgge9,KOR,석·박사통합과정,2018,1R,19890301,2020,1R,4.31,6,136183404,47,46.2,,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,10
11,11,11,381,AAFQAXiJRLYV9jhshEfBthoi,마이크로/나노시스템협동과정,마이크로/나노시스템협동과정전공,AAFAdiRzimzpkLB6/eFLLRaK,KOR,석·박사통합과정,2018,1R,19900817,2020,1R,4.06,6,77936000,42,43,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,10
12,12,12,403,AAFRGdJwIVydeCaCnzjeI8wp,신소재공학과,신소재공학전공,AAFi4juzPESAU71QzFVv2xel,KOR,석·박사통합과정,2018,1R,19911029,2020,1R,4.39,6,114520000,57,38,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,10
13,13,13,786,AAF6OkhXqfriyj6es1UnpDTU,신소재공학과,신소재공학전공,AAG/JVT6xluE6DbNm+mre8iq,KOR,석·박사통합과정,2016,2R,19820301,2017,1R,4.14,6,,49,39,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,7
14,14,14,2336,AAERPnDIXeS0PahOUMQZu+xX,화공생명공학과,화공생명공학전공,AAHgUVNRwv/2JnLflHfEFa8n,KOR,석·박사통합과정,2018,1R,19920824,2019,1R,4,6,68509388,50,33.5,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,8
